YKL051W    01 42 
YKL165C    01 14 20 43 
YJL143W    14 20 
YDL091C    # 
YJL154C    14 20 42 
YGR057C    20 
YKL194C    12 
YDR074W    01 02 32 
YMR029C    10 34 
YMR148W    # 
YGL142C    01 14 42 
YDR494W    12 
YKL151C    # 
YLR249W    12 42 
YPL230W    11 
YGR019W    01 
YBR263W    01 
YOR249C    10 14 16 
YLR018C    20 
YBL056W    01 14 18 30 34 
YDL175C    20 
YJR135W-A  14 20 
YHR192W    # 
YNL139C    10 11 12 16 20 
YHL024W    10 16 43 
YLR109W    32 34 
YOR063W    12 
YBR205W    01 14 42 
YPL076W    01 14 
YMR294W    10 20 42 
YML110C    01 02 
YLR292C    14 20 
YLR216C    11 14 16 32 
YJL093C    20 34 
YDR046C    20 
YJL092W    10 
YNR069C    14 
YCR057C    10 11 16 43 
YLR445W    # 
YDR356W    10 42 
Q0050      02 10 11 16 38 
YOR369C    12 
YJR083C    40 42 43 
YJR145C    11 12 
YGR239C    14 16 18 20 42 
YGR246C    11 
YJR138W    10 42 
YHR059W    # 
YOR006C    # 
YOL032W    # 
YNL156C    01 16 18 
YDR079C-A  10 11 
YNL286W    11 16 
YJL151C    # 
YFR032C-A  12 
YNL093W    14 20 
YOR332W    14 20 34 
YKR022C    11 
YMR318C    01 02 
YDR425W    14 20 
YGL134W    01 02 18 
YJR094W-A  12 
YKR074W    # 
YDR293C    10 16 32 40 42 43 
YNL099C    01 14 18 30 32 
YKL006W    12 16 
YCL057W    14 16 
YDR097C    01 10 16 
YLR185W    12 
YOR194C    11 
YNL100W    # 
YGR060W    01 
YHR041C    11 
YNL288W    11 
YFL003C    10 16 
YPR140W    01 42 
YNL318C    20 
YOR125C    01 
YDR276C    20 
YNL224C    # 
YLL014W    # 
YLR129W    10 11 16 
YGL066W    14 42 
YGR143W    01 02 42 
YOL040C    12 14 20 
YML030W    # 
YOR261C    14 
YMR316W    43 
YCR027C    20 30 
YER125W    10 14 16 32 43 
YMR263W    10 11 14 34 40 43 
YGR221C    40 42 43 
YJR132W    01 14 20 
YDR192C    14 16 20 42 
YKL127W    01 02 
YJL131C    # 
YER021W    14 
YDR495C    14 20 
YDR382W    12 
YOL129W    14 20 
YKR009C    01 02 42 
YNL280C    01 16 
YLR259C    14 16 20 32 
YKR049C    32 
YKL073W    14 16 20 32 
YDR505C    # 
YDR496C    11 41 
YGL202W    01 
YOL077W-A  02 20 
YCL040W    01 02 20 
YFR007W    # 
YKL137W    # 
YGR072W    01 12 
YER022W    11 
YIL118W    20 30 40 42 43 
YKL006C-A  20 
YJR008W    # 
YNL215W    # 
YDR172W    01 10 12 
YBR042C    01 
YER056C-A  12 
YPL064C    # 
YNL085W    01 10 38 
YDR256C    32 
YGL051W    16 20 42 
YBL038W    12 42 
YNL287W    20 
YPL166W    # 
YJL005W    01 10 30 34 43 
YOR281C    11 18 34 
YAR050W    16 34 
YMR114C    # 
YLR044C    01 02 
YGR251W    11 
YJL099W    01 20 42 
YLR262C    20 
YFR010W    14 
YOR260W    12 
YKR028W    01 10 14 30 43 
YOR374W    01 02 42 
YJR046W    10 
YJR122W    11 
YML105C    14 20 
YKL035W    01 02 14 
YJL102W    12 
YER058W    14 
YOR373W    10 42 
YGL222C    01 11 16 
YDL035C    30 34 40 43 
YDR533C    14 16 32 
YGR198W    30 
YJL034W    01 10 14 16 20 32 41 42 
YNR059W    01 14 
YNR022C    12 42 
YDR034C    01 11 
YGR156W    11 16 
YLR066W    14 
YPL186C    # 
YBR173C    14 16 18 32 
YHR057C    14 32 
YJL031C    01 14 
YLR234W    10 32 42 
YHR121W    16 
YDR119W-A  # 
YDL067C    02 14 20 
YKL180W    12 
YGR037C    01 16 20 
YDR280W    01 11 
YBR191W    12 
YDR346C    # 
YDL232W    01 14 16 
YMR229C    11 16 
YKR092C    11 16 20 32 
YAL060W    01 02 16 
YLR117C    10 11 
YCR019W    38 
YDR143C    10 14 16 34 
YDL122W    14 
YAL031C    # 
YLR089C    01 
YOR361C    10 12 43 
YGR154C    # 
YBL035C    10 
YHR087W    # 
YDR151C    11 40 
YDR493W    # 
YGL022W    01 14 
YLR192C    11 12 16 
YOR265W    10 14 16 
YDR031W    # 
YPL074W    01 14 16 
YLR335W    14 16 20 42 
YKR083C    10 40 42 43 
YHR156C    16 
YDR129C    16 20 32 42 43 
YDR453C    01 32 
YAL008W    # 
YDR191W    01 10 11 16 34 
YLL026W    01 14 16 32 
YLR459W    14 42 
YGR099W    16 32 42 
YLR110C    34 41 42 
YBR137W    # 
YNL281W    14 32 
YOR142W    01 02 16 
YLR430W    11 16 
YDR304C    14 
YAR033W    16 20 42 
YPL020C    10 14 
YHR001W-A  02 
YMR150C    14 
YOR153W    16 20 32 34 
YLR034C    20 34 
YBL027W    12 
YNL213C    10 42 
YMR255W    20 
YDR033W    32 
YPL154C    14 32 43 
YDR253C    01 11 16 
YGR238C    34 41 43 
YEL011W    01 02 
YML103C    14 16 20 42 
YIL051C    01 42 
YOR305W    # 
YLR079W    10 16 18 
YDL140C    11 16 
YPL129W    01 10 11 34 
YKR063C    10 42 43 
YGR028W    01 14 16 20 
YKL116C    01 14 30 
YFL057C    01 02 
YLL009C    02 14 20 34 
YGR123C    01 14 30 
YMR220W    01 16 
YMR188C    02 12 42 
YJR059W    01 10 14 20 34 
YNL075W    11 16 
YML117W    16 
YMR116C    02 12 
YBR194W    # 
YAL044C    01 
YKL091C    # 
YKL139W    01 11 14 
YHR129C    10 20 40 42 43 
YLR436C    42 
YOR253W    14 
YNL268W    20 
YKR106W    20 32 
YDR110W    10 16 40 
YDL029W    10 16 20 40 42 43 
YOR132W    14 20 
YBR149W    01 16 
YOR150W    12 42 
YEL012W    02 14 16 
YOR192C    20 
YGR030C    11 
YBR172C    20 42 
YDR226W    01 10 
YOL005C    11 16 
YML064C    10 16 30 
YOR089C    14 20 
YJR022W    11 
YPR176C    01 14 
YIL148W    12 14 
YPL194W    10 32 
YDR140W    14 
YNL252C    12 42 
YGR282C    01 42 
YOR219C    14 34 
YBR164C    14 20 
YBR188C    11 
YMR060C    01 14 16 20 42 
YOR195W    10 
YIL076W    14 20 
YBR217W    14 20 42 
YIL002C    01 20 30 42 
YDR518W    14 
YOR178C    01 02 10 11 14 18 32 34 
YBL003C    10 11 16 
YDR376W    01 20 34 
YGL058W    10 11 14 16 43 
YFL005W    10 20 30 43 
YDR014W    32 
YML061C    10 32 42 
YDL007W    01 14 16 
YBR030W    01 
YLR021W    # 
